id;label;Lat;Lng;timeZone
1180281;Dera Ismail Khan - PK;31.83129; 70.9017;Asia/Karachi
11611628;Higashikurume - JP;35.75202; 139.51169;Asia/Tokyo
1273313;Dehra Dun - IN;30.32443; 78.03392;Asia/Kolkata
1529401;Karamay - CN;45.58473; 84.88724;Asia/Urumqi
2110683;Tsukuba - JP;36.2; 140.1;Asia/Tokyo
183595;Ngong - KE;-1.3527; 36.6699;Africa/Nairobi
1138336;Kandahar - AF;31.61332; 65.71013;Asia/Kabul
1165108;Shikarpur - PK;27.95558; 68.63823;Asia/Karachi
3583446;San Miguel - SV;13.48333; -88.18333;America/El_Salvador
1793419;Binhe - CN;32.68833; 112.8275;Asia/Shanghai
2034714;Siping - CN;43.16143; 124.37785;Asia/Shanghai
2320576;Umuahia - NG;5.52491; 7.49461;Africa/Lagos
3728097;Les Cayes - HT;18.19199; -73.74948;America/Port-au-Prince
1647142;Cianjur - ID;-6.82222; 107.13944;Asia/Jakarta
149606;Tanga - TZ;-5.06893; 39.09875;Africa/Dar_es_Salaam
4276614;Olathe - US;38.8814; -94.81913;America/Chicago
1605245;Ubon Ratchathani - TH;15.23844; 104.84866;Asia/Bangkok
323777;Antalya - TR;36.90812; 30.69556;Europe/Istanbul
1267696;Karol Bagh - IN;28.65136; 77.19072;Asia/Kolkata
1283460;Dharan - NP;26.81436; 87.27972;Asia/Kathmandu
2191562;Dunedin - NZ;-45.87416; 170.50361;Pacific/Auckland
609655;Karagandy - KZ;49.80187; 73.10211;Asia/Almaty
1800146;Nanchong - CN;30.79508; 106.08473;Asia/Shanghai
1810845;Fuyang - CN;32.9; 115.81667;Asia/Shanghai
1783934;Shangqiu - CN;34.45; 115.65;Asia/Shanghai
1816865;Bashan - CN;27.76823; 116.05017;Asia/Shanghai
2409306;Freetown - SL;8.48714; -13.2356;Africa/Freetown
158151;Katumba - TZ;-9.23333; 33.61667;Africa/Dar_es_Salaam
2743477;Zwolle - NL;52.5125; 6.09444;Europe/Amsterdam
2654789;Brent - GB;51.55306; -0.3023;Europe/London
99532;Basrah - IQ;30.50852; 47.7804;Asia/Baghdad
140463;Birjand - IR;32.86628; 59.22114;Asia/Tehran
1725115;Binan - PH;14.34267; 121.08071;Asia/Manila
1514210;Chirchiq - UZ;41.46889; 69.58222;Asia/Tashkent
2328765;Nnewi - NG;6.01962; 6.91729;Africa/Lagos
3988086;Saltillo - MX;25.42321; -101.0053;America/Monterrey
3455775;Osasco - BR;-23.5325; -46.79167;America/Sao_Paulo
4679195;Carrollton - US;32.95373; -96.89028;America/Chicago
2377450;Nouakchott - MR;18.08581; -15.9785;Africa/Nouakchott
1215412;Belawan - ID;3.7755; 98.6832;Asia/Jakarta
2346229;Calabar - NG;4.95893; 8.32695;Africa/Lagos
2544571;Kenitra - MA;34.26101; -6.5802;Africa/Casablanca
1174167;Khanpur - PK;28.64739; 70.65694;Asia/Karachi
1803245;Lishui - CN;28.46042; 119.91029;Asia/Shanghai
