Name,Vmag,RA_deg,Dec_deg,SpType,Parallax_arcsec,Distance_ly,Constellation
          ,6.7,1.29125,45.229167,  A1Vn              ,,,
          ,6.29,1.265833,-0.503056, gG9                ,,,
 33    Psc,4.61,1.33375,-5.7075,  K0IIIbCN-0.5      ,0.014,232.9685714,Psc
 86    Peg,5.51,1.425,13.396111,  G5III             ,,,Peg
          ,5.96,1.566667,58.436667,  G5V               ,0.047,69.39489362,
          ,5.7,1.579167,-49.075,  G1IV              ,0.05,65.2312,
 10    Cas,5.59,1.610417,64.196111,  B9III             ,,,Cas
          ,6.13,1.653333,29.021389,  K0V               ,0.067,48.68,
          ,6.18,1.70875,-23.1075,  A7V               ,,,
          ,6.19,1.825833,-17.386389,  A6Vn              ,,,
          ,6.43,1.93375,-2.548889,  B8IIIpSi          ,,,
          ,5.94,1.945,-22.508889,  A2Vp:             ,,,
          ,5.68,2.014583,-33.529444,  K1III             ,,,
          ,6.07,2.050417,-2.447778,  K2III+F           ,,,
 21Alp And,2.06,2.097083,29.090556,  B8IVpMnHg         ,0.032,101.92375,And
          ,5.99,2.0725,-8.823889, gG8                ,,,
          ,6.19,2.170833,36.626667,  F8IV              ,0.044,74.12636364,
          ,6.06,2.139167,-17.5775,  M0III             ,,,
          ,6.23,2.2175,25.462778,  K0III             ,,,
          ,6.01,2.334167,79.714722,  A7IV              ,0.002,1630.78,
 11Bet Cas,2.27,2.294583,59.149722,  F2III-IV          ,0.072,45.29944444,Cas
 87    Peg,5.53,2.26,18.211944,  G9III             ,,,Peg
          ,6.33,2.26,-54.001944,  G4IV              ,0.009,362.3955556,
   Kap1Scl,5.42,2.3375,-27.987778,  F2V               ,0.023,141.8069565,Kap1Scl
   Eps Phe,3.88,2.352917,-45.7475,  K0III             ,0.066,49.41757576,Phe
 34    Psc,5.51,2.509583,11.145556,  B9Vn              ,0.017,191.8564706,Psc
 22    And,5.03,2.580417,46.072222,  F2II              ,-0.002,,And
          ,6.74,2.62375,57.165556,  B7IV              ,,,
          ,5.84,2.578333,-5.248611,  K1III             ,,,
   Gam3Oct,5.28,2.50875,-82.223889,  G8III             ,,,Gam3Oct
          ,5.85,2.678333,-12.58,  K0IV              ,,,
          ,6.64,2.660833,-73.224444,  F2V+F6V           ,,,
  6    Cet,4.89,2.81625,-15.468056,  F7V               ,0.067,48.68,Cet
   Kap2Scl,5.41,2.893333,-27.799722,  K5III             ,,,Kap2Scl
   The Scl,5.25,2.933333,-35.133056,  F4V               ,0.034,95.92823529,Scl
          ,6.16,2.99625,48.1525, gK4                ,,,
          ,5.25,3.041667,-17.938333,  K5III             ,-0.015,,
          ,6.73,3.21,37.693333,  B2V               ,,,
 88Gam Peg,2.83,3.309167,15.183611,  B2IV              ,-0.002,,Peg
          ,6.3,3.35,26.987222,  G0III             ,0.006,543.5933333,
 23    And,5.72,3.378333,41.035278,  F0IV              ,0.024,135.8983333,And
          ,5.94,3.425417,-26.021944,  K5III             ,,,
          ,6.31,3.434167,-26.284722,  K5III             ,,,
          ,6.25,3.509583,33.206111,  A1V               ,,,
 89Chi Peg,4.8,3.650833,20.206667,  M2+III            ,0.015,217.4373333,Peg
          ,5.12,3.615,-7.780556,  M3+III            ,0.003,1087.186667,
          ,5.77,3.330833,-84.994167,  M0-1III           ,,,
  7    Cet,4.44,3.66,-18.932778,  M3III             ,0.029,112.4675862,Cet
          ,6.24,3.73375,22.284167,  A1pSi             ,,,
 35    Psc,5.79,3.745,8.820833,  F0IV              ,0.017,191.8564706,Psc
          ,5.75,3.727083,-9.569722,  B9V               ,,,
          ,6.45,3.779167,31.535833,  K5                ,,,
